Grupo,Variedad,Inicio,Fin
Blancas y dulces,Salustiana late,2022-01-01,2022-03-31
Blancas y dulces,Salustiana late,2022-12-15,2022-12-31
Blancas y dulces,Cadenera,2022-01-01,2022-03-31
Blancas y dulces,Sucrería,2022-01-01,2022-03-31
Blancas y dulces,Sucrería,2022-12-01,2022-12-31
Blancas y dulces,Hamelin,2022-01-15,2022-03-15
Blancas y dulces,Valenciana late,2022-03-21,2022-07-31
Blancas y dulces,Valenciana Midknight,2022-03-01,2022-06-30
Blancas y dulces,Shamouti,2022-01-01,2022-04-15
Blancas y dulces,Shamouti,2022-12-01,2022-12-31
Blancas y dulces,Castellano,2022-11-01,2022-11-30
Blancas y dulces,Valenciana Delta seedless,2022-03-21,2022-06-07
Sanguinas,Navel Caracara,2022-01-01,2022-01-15
Sanguinas,Navel Caracara,2022-12-15,2022-12-31
Sanguinas,Moro (Belladonna Sanguineo),2022-01-01,2022-03-31
Sanguinas,Tarocco Rosso,2022-01-15,2022-03-15
Sanguinas,Sanguinelli (Sanguinella negra),2022-01-15,2022-04-30
Navel,Fukumoto,2022-01-01,2022-01-31
Navel,Fukumoto,2022-10-01,2022-12-31
Navel,Newhall,2022-01-01,2022-01-15
Navel,Newhall,2022-10-15,2022-12-31
Navel,Navelina,2022-01-01,2022-01-21
Navel,Navelina,2022-10-21,2022-12-31
Navel,Washington navel,2022-01-01,2022-05-31
Navel,Washington navel,2022-11-01,2022-12-31
Navel,Fisher,2022-06-01,2022-08-15
Navel,Fisher,2022-12-01,2022-12-31
Navel,Thomson,2022-01-01,2022-02-28
Navel,Thomson,2022-10-15,2022-12-31
Navel,Navel late,2022-02-01,2022-06-30
Navel,Navel Lane late,2022-02-01,2022-06-30
Navel,Navel Chislett Summer,2022-02-01,2022-05-15
Navel,Navel Barnfield,2022-02-01,2022-05-15
Navel,Navel Powell Summer,2022-01-01,2022-05-31
Navel,Navel Rhode Summer,2022-01-01,2022-05-31
